"Year","ratio","sst","sst1","sst2","F_CODE"
1979,0.8125,-1.0604833982264,-0.120543651438008,-0.00555497221648693,"27.3.a"
1980,0.789473684210526,-0.328059772029519,-0.145221893442795,0.0459898449480534,"27.3.a"
1981,0.631578947368421,-0.269933391595259,0.0985831225989386,-0.128868569775174,"27.3.a"
1982,0.695652173913043,0.15528532769531,0.0404934242833406,-0.0186070563892523,"27.3.a"
1983,0.619047619047619,0.330609423962111,0.14279924686222,0.157299311210712,"27.3.a"
1984,0.761904761904762,0.0443486527850231,0.145078292659794,0.167951293289661,"27.3.a"
1985,0.789473684210526,-0.580890892383953,-0.091828789426169,0.163144603061179,"27.3.a"
1986,0.695652173913043,-0.592599030118436,0.319403079765228,0.079565966501832,"27.3.a"
1987,0.625,-0.863859018310905,-0.1912355357393,-0.410486427446206,"27.3.a"
1988,0.722222222222222,0.56858673132956,0.460274381330237,0.170236609410495,"27.3.a"
1989,0.523809523809524,1.16072827825944,0.260422034189105,0.0266872396071752,"27.3.a"
1990,0.681818181818182,1.25146463296066,0.696302469315318,0.984260453532139,"27.3.a"
1991,0.875,0.348923077185949,0.618057202237348,0.816182327767213,"27.3.a"
1992,0.826086956521739,0.89793309631447,-0.0183386721958717,-0.0434823824713627,"27.3.a"
1993,0.655172413793103,-0.166710439448555,0.15483983567295,0.0155688462158044,"27.3.a"
1994,0.653846153846154,0.509638103966912,0.0268076889527341,0.0498373104880253,"27.3.a"
1995,0.76,0.792463705564539,0.11684074656417,-0.00338891490052144,"27.3.a"
1996,0.814814814814815,-0.498815612867475,0.722937075421214,0.749590302507083,"27.3.a"
1997,0.7,0.754065929291149,0.43876556151857,0.387896141037345,"27.3.a"
1998,0.857142857142857,0.519048383149008,1.02755111440395,0.777012716978788,"27.3.a"
1999,0.785714285714286,1.14635653048754,0.820234205806628,0.69071777847906,"27.3.a"
2000,0.866666666666667,1.0692855102631,0.561796102129544,0.721052293976148,"27.3.a"
2001,0.75,0.848378679404656,0.412541879108176,0.306291899333398,"27.3.a"
2002,0.709677419354839,1.2824285045887,0.458660893336249,0.695693174997965,"27.3.a"
2003,0.888888888888889,0.980251975667973,0.408067901153117,0.518526510645946,"27.3.a"
2004,0.931034482758621,0.978406673297286,0.727326523590212,0.970932722091675,"27.3.a"
2005,1,1.18120742356405,0.644114575426405,0.720322022835414,"27.3.a"
2006,1.03846153846154,1.55301513026158,0.638909791441013,0.899876063068708,"27.3.a"
2007,0.90625,1.4755046290035,0.982790294801816,1.00772370149692,"27.3.a"
2008,1.15384615384615,1.59965995326638,0.610025619932761,0.844315541287263,"27.3.a"
2009,1.23076923076923,1.01276235623906,0.66767406448101,0.563004140276462,"27.3.a"
2010,0.956521739130435,0.16030919427673,0.591265211657931,0.621079993744691,"27.3.a"
2011,1,0.809335353473822,0.661108565206329,0.647097235545516,"27.3.a"
2012,0.896551724137931,0.6834344357873,0.863530959468335,0.717081311934938,"27.3.a"
2013,1.07692307692308,0.570334647161265,0.73470612547438,0.531454360112548,"27.3.a"
2014,1.07142857142857,2.08489008123676,0.440641671419144,0.70224434013168,"27.3.a"
2015,1.1,1.18160551848511,0.884641400926436,1.07467072705428,"27.3.a"
2016,1.1304347826087,1.63185395176212,0.74489782191813,0.560707306178908,"27.3.a"
2017,1.14814814814815,1.28712935497363,0.732308067691823,0.852399386465549,"27.3.a"
2018,1,1.53857726355394,0.999849451861034,0.81338465710481,"27.3.a"
2019,1.11111111111111,1.55737487350901,0.320733678410761,0.811648226653536,"27.3.a"
2020,1.06896551724138,NA,NA,NA,"27.3.a"
1999,0.45,1.32809276894356,1.14635653048754,0.820234205806628,"27.3.b, c"
2000,0.388888888888889,1.24240146259156,1.0692855102631,0.561796102129544,"27.3.b, c"
2001,0.866666666666667,0.997813136937718,0.848378679404656,0.412541879108176,"27.3.b, c"
2002,0.611111111111111,1.34225122304633,1.2824285045887,0.458660893336249,"27.3.b, c"
2003,0.705882352941177,1.06299647855728,0.980251975667973,0.408067901153117,"27.3.b, c"
2004,0.764705882352941,0.99271199076126,0.978406673297286,0.727326523590212,"27.3.b, c"
2005,0.928571428571429,1.16991239048851,1.18120742356405,0.644114575426405,"27.3.b, c"
2006,0.888888888888889,1.50015409446011,1.55301513026158,0.638909791441013,"27.3.b, c"
2007,0.888888888888889,1.69052796609079,1.4755046290035,0.982790294801816,"27.3.b, c"
2008,0.666666666666667,1.58340682213505,1.59965995326638,0.610025619932761,"27.3.b, c"
2009,0.764705882352941,1.11357311005122,1.01276235623906,0.66767406448101,"27.3.b, c"
2010,1.125,0.120408637371535,0.16030919427673,0.591265211657931,"27.3.b, c"
2011,0.888888888888889,0.702179362221311,0.809335353473822,0.661108565206329,"27.3.b, c"
2012,0.588235294117647,0.742851707851514,0.6834344357873,0.863530959468335,"27.3.b, c"
2013,0.666666666666667,0.557620404753834,0.570334647161265,0.73470612547438,"27.3.b, c"
2014,0.95,2.20304004335776,2.08489008123676,0.440641671419144,"27.3.b, c"
2015,0.846153846153846,1.31438193997989,1.18160551848511,0.884641400926436,"27.3.b, c"
2016,0.875,1.73775940450529,1.63185395176212,0.74489782191813,"27.3.b, c"
2017,0.85,1.36551306893428,1.28712935497363,0.732308067691823,"27.3.b, c"
2018,0.789473684210526,1.5885609217609,1.53857726355394,0.999849451861034,"27.3.b, c"
2019,0.8,1.69880829441051,1.55737487350901,0.320733678410761,"27.3.b, c"
2020,0.714285714285714,NA,NA,NA,"27.3.b, c"
1999,1,1.2057399371018,1.32809276894356,1.14635653048754,"27.3.d"
