"msfd","pval","pval1","pval2"
"Baltic",0.777787208557129,0.127533555030823,0.0625263452529907
"Bay of Biscay and the Iberian Coast",0.804041266441345,0.398887753486633,0.960421979427338
"Celtic Seas",3.57627868652344e-07,4.41074371337891e-06,0
"Greater North Sea, incl. the Kattegat and the English Channel",0,9.5367431640625e-07,8.34465026855469e-07
